dim_crop_id,dim_source,dim_load_date,crop
000C3BE54961EF4D9DC6B9AE6AA144E2,RACP,09/08/22 07:42:00,Sorrel
02015CB705E3588576A27B787F411535,RACP,09/08/22 07:42:00,Red Currant leaves
033B6A068A640F1B4C81EFE61A09AFE9,RACP,09/08/22 07:42:00,Rambutan
05106C1C1A1319E6CBAE64B12C6E37C4,RACP,09/08/22 07:42:00,Blessed thistle
0524D99C8E4F3AB2C0E9C90C8B3E2B96,RACP,09/08/22 07:42:00,Yarrow
061047E899DB7CB2CB2E27955D929A1F,RACP,09/08/22 07:42:00,Celery
066DDA60DDB5DB69DAFDB3E9C5B83C7F,RACP,09/08/22 07:42:00,Hazelnut
08BF34B1841B51E10CA000674B93FA29,RACP,09/08/22 07:42:00,Lovage
09D68AF6CD161A5234BCB84A7510C003,RACP,09/08/22 07:42:00,Bilberry
09F8F8525B8199C8DADB2E7A099ECE5E,RACP,09/08/22 07:42:00,Broccoli
0D97EB20362C8B61CC7A4424636F7B46,RACP,09/08/22 07:42:00,Other herbs and spices
10BF0E66CA48E02B45C63C5F01FFA3AA,RACP,09/08/22 07:42:00,Centella
126365B0B165EC8933C7681C9CDF2126,RACP,09/08/22 07:42:00,Rosemary
1347C990C99EE9260FFD407B7EA1609D,RACP,09/08/22 07:42:00,Watermelon
13D675363949206CF0D0F5D433EE7043,RACP,09/08/22 07:42:00,Ashwagandha
14FFC5BBAA2CC14E8AAC82AA334BA642,RACP,09/08/22 07:42:00,Turmeric
15041459E9AC563DC0F25DA3D6014611,RACP,09/08/22 07:42:00,Papaya
1638667B1941973BCB2498C668FAD908,RACP,09/08/22 07:42:00,Cashew
18A5916C8055DB310241918BCEDDC9CA,RACP,09/08/22 07:42:00,Lemon balm
18F5CD4BFA67C058FE109EDEC758DD02,RACP,09/08/22 07:42:00,Cucumber
1919CD274C192DB42528719E6472CB62,RACP,09/08/22 07:42:00,Willow bark
1AF2AFA5BB5D7D54317BEC6A5E6B01D9,RACP,09/08/22 07:42:00,Mint
1B130A85813B79B66310A25B486C2126,RACP,09/08/22 07:42:00,Marjoram
1BC0DAF6DF34E205DDED9230D6481771,RACP,09/08/22 07:42:00,Yam
1D7D3F2C065D35E24EF0DBBE4D3FD460,RACP,09/08/22 07:42:00,Bergamot
1F00620ADD8312A5E2A507FC61BA6142,RACP,09/08/22 07:42:00,Hops
202BD3FAABF4E8799E94448F6C13DAD4,RACP,09/08/22 07:42:00,Saffron
20AB293C15FA7C7F56609DCDAFF7EEE2,RACP,09/08/22 07:42:00,Blueberry fruit
21572587CA4885B4CB7CC218A2454BA9,RACP,09/08/22 07:42:00,Jasmine
2213FEA223B8DC1AE1A21B761B1CD22F,RACP,09/08/22 07:42:00,"Eggplant
22CEA6D73E3A901A0E6FF13B27CE088A,RACP,09/08/22 07:42:00,Other fresh vegetables
256951ACC738208B34CA2B2F3F2B3AAF,RACP,09/08/22 07:42:00,Kale
26283730D247FB96FD401D6BB148AF39,RACP,09/08/22 07:42:00,Blackberry
26B6521A348A7135E77D7FAC931A8073,RACP,09/08/22 07:42:00,Honeybush
2A3E19A9430EA6CB9D9557FE8157C267,RACP,09/08/22 07:42:00,Almond nut
2B823CDC812AD3CF8CC25F9E55D11EAC,RACP,09/08/22 07:42:00,Mustard greens
2D13D35FFCEF9E9BCD2EF1D9935ED0BA,RACP,09/08/22 07:42:00,Citrus blossoms
2D5DA25230F68D12D0D4EB819E32B16B,RACP,09/08/22 07:42:00,Stevia
2DAAFB1FF2C68D51BB0F231A15B9F541,RACP,09/08/22 07:42:00,Meadowsweet
2EB34B810AF1761D41BBAEC594FBEDEC,RACP,09/08/22 07:42:00,Ginseng
310734282E04C1E1E011546C90B76957,RACP,09/08/22 07:42:00,Orthosiphon
313D4E93D765802E3BAA055A4C7BD26D,RACP,09/08/22 07:42:00,Helichrysum
31C3030B790580421B98648C8B343F29,RACP,09/08/22 07:42:00,Plantain
32B658B7074A487D4B22A813A425F098,RACP,09/08/22 07:42:00,Lime leaves
33FB4F14F1A36B8E875493D7FCD836B0,RACP,09/08/22 07:42:00,Mulberry
34DB60F24FA00985B23373CB4EEF7EC8,RACP,09/08/22 07:42:00,Coconut
363D9D3AE49E7E6A78BC3ED62ECDDDF0,RACP,09/08/22 07:42:00,Sweet Fennel
36AE57A387201D03B21B7803882699ED,RACP,09/08/22 07:42:00,Physalis / Cape gooseberry
38858AA12510FC0F85CF25F36ED31BCE,RACP,09/08/22 07:42:00,"Beet
389876BD24BF970A3D2BF6D96FD6C5DF,RACP,09/08/22 07:42:00,Cranberry fruit
3AA600BB250F0D24CA19BBD8C9CE3ED0,RACP,09/08/22 07:42:00,Laurel
3BA6D654AF4EDA68908A451E222B2ECB,RACP,09/08/22 07:42:00,Indian Gooseberry
3BA9860F1C243A4F144926057DAC2B3E,RACP,09/08/22 07:42:00,Tangerine
3C04756C70843978A098D09C4E9AF292,RACP,09/08/22 07:42:00,Vanilla
3DA8A23A0DBB1DD1227B81EB4537F826,RACP,09/08/22 07:42:00,Grandilla
3DE15C59CEE826998F4903018E016CA4,RACP,09/08/22 07:42:00,Bay Leaf plant
3F7CE2E8A44F49440ECAFCAE36843CB7,RACP,09/08/22 07:42:00,Galangal
3FA8971A75F5831325CF81E3059E4897,RACP,09/08/22 07:42:00,Nettle
3FB10F960AE8BA4CA894027C6E93B655,RACP,09/08/22 07:42:00,Sweet Potato
4110527696DFCB5D8170B3A68A81AEC6,RACP,09/08/22 07:42:00,Tulsi
41647D52C242669F605427BB7E2173DA,RACP,09/08/22 07:42:00,Rose
44625E7F72EA170026B6A0042AB8DB48,RACP,09/08/22 07:42:00,Other fresh fruit
4598BD0418712D6A878BF591232458F3,RACP,09/08/22 07:42:00,Manioc / Cassava
46D8F3FD636963FBCA50B8FBCF8E1F0C,RACP,09/08/22 07:42:00,Licorice / liquorice
4A49412C030B58273114C9DA410D6154,RACP,09/08/22 07:42:00,Mango leaves
4B305CF4ADE1C1AFCC5F7944081DEADE,RACP,09/08/22 07:42:00,Melon fruit
4B826BC9B527443CD49E35CA35A7311B,RACP,09/08/22 07:42:00,Chilli Pepper
4DC27EDAE9FDE22C38F9F3B4BD325F3D,RACP,09/08/22 07:42:00,White Pepper
4F267AE0CB2B5879CB4FA0C6A51DE942,RACP,09/08/22 07:42:00,Nigella
500D71A311CC5CB2D96A7AA0469F410D,RACP,09/08/22 07:42:00,Chilli/Chili/Chile
509F859972DBE053357BB85259FE9B9A,RACP,09/08/22 07:42:00,Anise
5174B1375BEBDCFC8B96A174EAD42C19,RACP,09/08/22 07:42:00,Sunflower
51ADBCF15E473B35BBCE4A3066805EBE,RACP,09/08/22 07:42:00,Lavender
5535205DA8A6BCA0FD799EFF8E660EBB,RACP,09/08/22 07:42:00,Chamomile
57C006F0C2DF29CAB648B6E7C84CD6AE,RACP,09/08/22 07:42:00,Elderflower
583533854D90649992941C828B02290A,RACP,09/08/22 07:42:00,Calabash
5838AE7E92B5BA88E2E002E2B0DE96D8,RACP,09/08/22 07:42:00,Plum fruit
5AB82E469AC03A7C0259FC4674F82C78,RACP,09/08/22 07:42:00,Eucalyptus
5CBBF62E4721B8674144D0617F6192E3,RACP,09/08/22 07:42:00,Thyme
5F552D8526C772EA07D33E1D2D4BD176,RACP,09/08/22 07:42:00,Guava fruit
5F6E14FC68A01B1B55DF866C623B16FD,RACP,09/08/22 07:42:00,Pumpkin
5F874BF5F81CFF6B36E6DB71BE37DB1E,RACP,09/08/22 07:42:00,Pineapple fruit
6207166EEC12827E0ED25B9D6F17FC04,RACP,09/08/22 07:42:00,Cardamom
623F3CA9910406A27521BDB44A50D273,RACP,09/08/22 07:42:00,Pimento
63296391327F3136A7A83CA67F0A0629,RACP,09/08/22 07:42:00,Coneflower
692A23F86AABC8CAE1A9B5344787397F,RACP,09/08/22 07:42:00,Cowslip
69B0D53235B09B04C368412FD3B54D06,RACP,09/08/22 07:42:00,Soursop
6A0AFBBEF03F52706E8E115EB99131AD,RACP,09/08/22 07:42:00,Calendula
6AFC0A92437DC567E016A9EF47D51AEC,RACP,09/08/22 07:42:00,Citrus fruit
6B6D1183FCC1063646D99D04417D4386,RACP,09/08/22 07:42:00,Artichoke
6D7F09A72A08ACC558815727E3BCCADC,RACP,09/08/22 07:42:00,Leek
6D95E2A2B2E005B4BB2D8978499B8216,RACP,09/08/22 07:42:00,Carob
6E54498F708634427EFA6936632DDD53,RACP,09/08/22 07:42:00,Stinging nettle
6FB5E22EBB2A4311F0351F8FDB412655,RACP,09/08/22 07:42:00,Angelica
71821462578551B9A3D5A92EC9F372A4,RACP,09/08/22 07:42:00,Cilantro
720B6D5E3346260E3B0F2A9FB526CCC8,RACP,09/08/22 07:42:00,Pawpaw
7393E43AE6385202285CE501A9F1B584,RACP,09/08/22 07:42:00,Corn
73E8598442C33E6E3FABBAFB880CAB7B,RACP,09/08/22 07:42:00,Black Currant leaves
