fact_registration_id,fact_source,fact_load_date,dim_member_id,dim_license_id,dim_crop_id,dim_site_id,dim_farm_id,date_crop_registered
00033C66379562A69EE1EB635909F5CF,RACP,09/08/22 08:02:00,8CE3F1A6B82A6FB45CBC5CBC9D1E6F4E,748C7F5073D3768A6D0A6E2A99AF3D1B,FF8D1DF9118CF9F2C21466101A726B96,D41D8CD98F00B204E9800998ECF8427E,17A19D31C053870AC6E15168D05AADB2,11/24/21 00:00:00
000AE1D5D58725826E28138F36B5D97C,RACP,09/08/22 08:02:00,99DD55BB0A5FB403968E95DA33BD8AC5,09BE31566EAAC337E2E19E11950A7420,1347C990C99EE9260FFD407B7EA1609D,D41D8CD98F00B204E9800998ECF8427E,45AEE755B95864F5E4CF51BA8931C922,02/02/22 00:00:00
0014B47906C6A6B774954C053C74C6C9,RACP,09/08/22 08:02:00,6EAB604DBEDD472379EF7002C68E1FFD,4478A51F6BC2763C1E6A28796E6E5EE8,FF8D1DF9118CF9F2C21466101A726B96,D41D8CD98F00B204E9800998ECF8427E,694791F5CD9E09ACA2F25C361E701DFE,06/27/22 00:00:00
0014F4268A28AB963BBC5D03911CCD22,RACP,09/08/22 08:02:00,366812D2A2BB818B1FCBE622CBBCD9BB,F668C72FB0FF6711FDF3F1C530572422,7A49079BDFE7DDFC749A8DE17FECCAA8,D41D8CD98F00B204E9800998ECF8427E,3523D132C72B74BB438357D3E7604C2A,07/19/22 00:00:00
001832D553777572357D1BB0910A2F1D,RACP,09/08/22 08:02:00,BA1ED9185C6063FDA7680CE121286893,6779D9560124180B844F554C972A1C37,EFE052268030F4485B442B76A04FFA29,D41D8CD98F00B204E9800998ECF8427E,2C08E4E80BE34B933EFA4BFCA2917D26,03/11/22 00:00:00
001F35C36440D4F307FD69476A6EABA7,RACP,09/08/22 08:02:00,3C11291B2F41118198FBF2051A6C630A,6BC6C9A80817965B0C52AC8CC1F4466B,BE050F305B6294074A96AE95D8AA6E58,CB6CC53040EA0EDD67DE5FA29EBD8754,D41D8CD98F00B204E9800998ECF8427E,10/12/21 00:00:00
0025DED3E5336F9D5A91A6EA1AD3F15A,RACP,09/08/22 08:02:00,D12BAFB35E2EC1EF89FC32A81A5F791C,9F44FA837C6F3215308746CD8962C2D2,066DDA60DDB5DB69DAFDB3E9C5B83C7F,94A32D9681406514873C100C17FF5ED2,D41D8CD98F00B204E9800998ECF8427E,05/04/21 00:00:00
00282A5E31EEE19DED9F234C2D57FC37,RACP,09/08/22 08:02:00,867D09DA34AC9D3C2A1428B5792904EF,C841B1AAC87A264E3E540096EFBEBCDE,34DB60F24FA00985B23373CB4EEF7EC8,4A7F8956549C724444A45762DBB4B143,D41D8CD98F00B204E9800998ECF8427E,04/13/22 00:00:00
002F905872BB526154875A5E1EA2B5FF,RACP,09/08/22 08:02:00,6C1E88A0851CCD13D3548565CB557E29,CD84ABB2D48B44469CA428F4B6CCBF43,FF8D1DF9118CF9F2C21466101A726B96,AAA367B735F7864903B0C3A2E708BAA2,D41D8CD98F00B204E9800998ECF8427E,02/02/22 00:00:00
00377F690A998039EE9435C8D79F4E14,RACP,09/08/22 08:02:00,BA1ED9185C6063FDA7680CE121286893,6779D9560124180B844F554C972A1C37,EFE052268030F4485B442B76A04FFA29,D41D8CD98F00B204E9800998ECF8427E,7B1369FD9E026069641EBC7AC416FA22,03/11/22 00:00:00
00456616A59D13885D3F5D4BECD1C3DB,RACP,09/08/22 08:02:00,5EE0E94F31D5668F59FD943DB23F1D2B,2B1D26BDD8E27AECA1596CD549FEC2BE,7A49079BDFE7DDFC749A8DE17FECCAA8,D41D8CD98F00B204E9800998ECF8427E,E620622A9A90F3806F35BAA738DA2F85,05/11/22 00:00:00
004755DAFB526FA910535A2C78819DE0,RACP,09/08/22 08:02:00,6EAB604DBEDD472379EF7002C68E1FFD,4478A51F6BC2763C1E6A28796E6E5EE8,FF8D1DF9118CF9F2C21466101A726B96,D41D8CD98F00B204E9800998ECF8427E,2B6DDD0A68F4AE4C151DA821677C9B02,06/27/22 00:00:00
0047A2313704D9FC75D15E8E81A48A93,RACP,09/08/22 08:02:00,76322E03AB718257DC90DDB64EC74DE0,A3D00C4410F43701BB077FE646FDD94C,509F859972DBE053357BB85259FE9B9A,EC806D15A5A493A8766BEBF6C1B3C406,D41D8CD98F00B204E9800998ECF8427E,02/14/22 00:00:00
004E7BB5F46B78D490A23DE9D5B227BA,RACP,09/08/22 08:02:00,5EE0E94F31D5668F59FD943DB23F1D2B,2B1D26BDD8E27AECA1596CD549FEC2BE,7A49079BDFE7DDFC749A8DE17FECCAA8,D41D8CD98F00B204E9800998ECF8427E,F9FFBD8E17470B609782BA357FA685DF,05/11/22 00:00:00
0052B6D029EF1FE211C07E0FFAD6D810,RACP,09/08/22 08:02:00,CAC753C8464883F6C119C00B365FBCB3,A593345A81E01BB0F813359AC2D984EC,760371D83A9FA7376ED20DB1FAD9DC3C,D41D8CD98F00B204E9800998ECF8427E,CC3662AE4FC0A3BDF621FAE670840CA1,05/07/22 00:00:00
0057F3E697D764BE105F810E1DB7D2FA,RACP,09/08/22 08:02:00,99691CA87A1A22D472229E47636FF20D,7AC98FF46991B5BB82E7F132BF9DD9B0,7A49079BDFE7DDFC749A8DE17FECCAA8,D41D8CD98F00B204E9800998ECF8427E,ABEF0CEC76E1FDA8BA487809445591FB,08/08/22 00:00:00
005AEE70CABD63E8192A28191BA67813,RACP,09/08/22 08:02:00,366812D2A2BB818B1FCBE622CBBCD9BB,F668C72FB0FF6711FDF3F1C530572422,7A49079BDFE7DDFC749A8DE17FECCAA8,D41D8CD98F00B204E9800998ECF8427E,D4D1652B9EF6A6D739254FE6F1EA5C8F,07/19/22 00:00:00
00622BC4C7DA4AD6F63B4A9AF3F5DF1B,RACP,09/08/22 08:02:00,2B58121D715ACDE552B87AA757FE6245,7C1A775340B909632D9930B9FB8C336F,FF8D1DF9118CF9F2C21466101A726B96,D41D8CD98F00B204E9800998ECF8427E,09CCA7B00DF73B635FCE77EC76DF85BB,06/23/22 00:00:00
00664FCA94E42456C9D37A3F0AE1DEE1,RACP,09/08/22 08:02:00,CAC753C8464883F6C119C00B365FBCB3,A593345A81E01BB0F813359AC2D984EC,760371D83A9FA7376ED20DB1FAD9DC3C,D41D8CD98F00B204E9800998ECF8427E,72435DD416CB60B0FF2BA5E4F51877DC,05/07/22 00:00:00
0067950CA465037F1836572D1DEEA221,RACP,09/08/22 08:02:00,24904960184A84E53C998A904B512594,8BB7789FE1FAFC2B2EE62AC78484CA60,BE050F305B6294074A96AE95D8AA6E58,D41D8CD98F00B204E9800998ECF8427E,F2E38842F2F342D7C936B1CE312493B8,07/20/22 00:00:00
006960F2ECE4B2E46C915656352DDE4E,RACP,09/08/22 08:02:00,31363D94A7BCCDFC34D12BBBD0D8DE72,498128F53F4C174D96DC342123964019,760371D83A9FA7376ED20DB1FAD9DC3C,D41D8CD98F00B204E9800998ECF8427E,CCD0F494F385166BDC5ECBB72E0D9F94,09/10/21 00:00:00
006C9F6117F2BE1A09D9D345C3462181,RACP,09/08/22 08:02:00,B26E56BE1975ADE59B27BA9ED095F54D,79442530FBB31775E99E66F5D5BAB232,FF8D1DF9118CF9F2C21466101A726B96,D41D8CD98F00B204E9800998ECF8427E,962193EF432C4FA6156A1AEE2C025387,01/13/22 00:00:00
